id,i1,f1,s1,s2,b1,t1,d1,dec1,nul1
3600,739600,492.0,val-600,unique-00003600,true,2020-01-01T01:00:00.000600Z,2021-08-23,36,100
3601,175361,492.97,val-601,unique-00003601,false,2020-01-01T01:00:01.000601Z,2021-08-24,36.01,101
3602,611122,493.94,val-602,unique-00003602,false,2020-01-01T01:00:02.000602Z,2021-08-25,36.02,102
3603,46883,494.91,val-603,unique-00003603,true,2020-01-01T01:00:03.000603Z,2021-08-26,36.03,103
3604,482644,495.88,val-604,unique-00003604,false,2020-01-01T01:00:04.000604Z,2021-08-27,36.04,104
3605,918405,496.85,val-605,unique-00003605,false,2020-01-01T01:00:05.000605Z,2021-08-28,36.05,
3606,354166,497.82,val-606,unique-00003606,true,2020-01-01T01:00:06.000606Z,2021-08-29,36.06,106
3607,789927,498.79,val-607,unique-00003607,false,2020-01-01T01:00:07.000607Z,2021-08-30,36.07,107
3608,225688,499.76,val-608,unique-00003608,false,2020-01-01T01:00:08.000608Z,2021-08-31,36.08,108
3609,661449,500.73,val-609,unique-00003609,true,2020-01-01T01:00:09.000609Z,2021-09-01,36.09,109
3610,97210,501.7,val-610,unique-00003610,false,2020-01-01T01:00:10.000610Z,2021-09-02,36.1,110
3611,532971,502.67,val-611,unique-00003611,false,2020-01-01T01:00:11.000611Z,2021-09-03,36.11,111
3612,968732,503.64,val-612,unique-00003612,true,2020-01-01T01:00:12.000612Z,2021-09-04,36.12,
3613,404493,504.61,val-613,unique-00003613,false,2020-01-01T01:00:13.000613Z,2021-09-05,36.13,113
3614,840254,505.58,val-614,unique-00003614,false,2020-01-01T01:00:14.000614Z,2021-09-06,36.14,114
3615,276015,506.55,val-615,unique-00003615,true,2020-01-01T01:00:15.000615Z,2021-09-07,36.15,115
3616,711776,507.52,val-616,unique-00003616,false,2020-01-01T01:00:16.000616Z,2021-09-08,36.16,116
3617,147537,508.49,val-617,unique-00003617,false,2020-01-01T01:00:17.000617Z,2021-09-09,36.17,117
3618,583298,509.46,val-618,unique-00003618,true,2020-01-01T01:00:18.000618Z,2021-09-10,36.18,118
3619,19059,510.43,val-619,unique-00003619,false,2020-01-01T01:00:19.000619Z,2021-09-11,36.19,
3620,454820,511.4,val-620,unique-00003620,false,2020-01-01T01:00:20.000620Z,2021-09-12,36.2,120
3621,890581,512.37,val-621,unique-00003621,true,2020-01-01T01:00:21.000621Z,2021-09-13,36.21,121
3622,326342,513.34,val-622,unique-00003622,false,2020-01-01T01:00:22.000622Z,2021-09-14,36.22,122
3623,762103,514.31,val-623,unique-00003623,false,2020-01-01T01:00:23.000623Z,2021-09-15,36.23,123
3624,197864,515.28,val-624,unique-00003624,true,2020-01-01T01:00:24.000624Z,2021-09-16,36.24,124
3625,633625,516.25,val-625,unique-00003625,false,2020-01-01T01:00:25.000625Z,2021-09-17,36.25,125
3626,69386,517.22,val-626,unique-00003626,false,2020-01-01T01:00:26.000626Z,2021-09-18,36.26,
3627,505147,518.19,val-627,unique-00003627,true,2020-01-01T01:00:27.000627Z,2021-09-19,36.27,127
3628,940908,519.16,val-628,unique-00003628,false,2020-01-01T01:00:28.000628Z,2021-09-20,36.28,128
3629,376669,520.13,val-629,unique-00003629,false,2020-01-01T01:00:29.000629Z,2021-09-21,36.29,129
3630,812430,521.1,val-630,unique-00003630,true,2020-01-01T01:00:30.000630Z,2021-09-22,36.3,130
3631,248191,522.07,val-631,unique-00003631,false,2020-01-01T01:00:31.000631Z,2021-09-23,36.31,131
3632,683952,523.04,val-632,unique-00003632,false,2020-01-01T01:00:32.000632Z,2021-09-24,36.32,132
3633,119713,524.01,val-633,unique-00003633,true,2020-01-01T01:00:33.000633Z,2021-09-25,36.33,
3634,555474,524.98,val-634,unique-00003634,false,2020-01-01T01:00:34.000634Z,2021-09-26,36.34,134
3635,991235,525.95,val-635,unique-00003635,false,2020-01-01T01:00:35.000635Z,2021-09-27,36.35,135
3636,426996,526.92,val-636,unique-00003636,true,2020-01-01T01:00:36.000636Z,2021-09-28,36.36,136
3637,862757,527.89,val-637,unique-00003637,false,2020-01-01T01:00:37.000637Z,2021-09-29,36.37,137
3638,298518,528.86,val-638,unique-00003638,false,2020-01-01T01:00:38.000638Z,2021-09-30,36.38,138
3639,734279,529.83,val-639,unique-00003639,true,2020-01-01T01:00:39.000639Z,2021-10-01,36.39,139
3640,170040,530.8,val-640,unique-00003640,false,2020-01-01T01:00:40.000640Z,2021-10-02,36.4,
3641,605801,531.77,val-641,unique-00003641,false,2020-01-01T01:00:41.000641Z,2021-10-03,36.41,141
3642,41562,532.74,val-642,unique-00003642,true,2020-01-01T01:00:42.000642Z,2021-10-04,36.42,142
3643,477323,533.71,val-643,unique-00003643,false,2020-01-01T01:00:43.000643Z,2021-10-05,36.43,143
3644,913084,534.68,val-644,unique-00003644,false,2020-01-01T01:00:44.000644Z,2021-10-06,36.44,144
3645,348845,535.65,val-645,unique-00003645,true,2020-01-01T01:00:45.000645Z,2021-10-07,36.45,145
3646,784606,536.62,val-646,unique-00003646,false,2020-01-01T01:00:46.000646Z,2021-10-08,36.46,146
3647,220367,537.59,val-647,unique-00003647,false,2020-01-01T01:00:47.000647Z,2021-10-09,36.47,
3648,656128,538.56,val-648,unique-00003648,true,2020-01-01T01:00:48.000648Z,2021-10-10,36.48,148
3649,91889,539.53,val-649,unique-00003649,false,2020-01-01T01:00:49.000649Z,2021-10-11,36.49,149
3650,527650,540.5,val-650,unique-00003650,false,2020-01-01T01:00:50.000650Z,2021-10-12,36.5,150
3651,963411,541.47,val-651,unique-00003651,true,2020-01-01T01:00:51.000651Z,2021-10-13,36.51,151
3652,399172,542.44,val-652,unique-00003652,false,2020-01-01T01:00:52.000652Z,2021-10-14,36.52,152
3653,834933,543.41,val-653,unique-00003653,false,2020-01-01T01:00:53.000653Z,2021-10-15,36.53,153
3654,270694,544.38,val-654,unique-00003654,true,2020-01-01T01:00:54.000654Z,2021-10-16,36.54,
3655,706455,545.35,val-655,unique-00003655,false,2020-01-01T01:00:55.000655Z,2021-10-17,36.55,155
3656,142216,546.32,val-656,unique-00003656,false,2020-01-01T01:00:56.000656Z,2021-10-18,36.56,156
3657,577977,547.29,val-657,unique-00003657,true,2020-01-01T01:00:57.000657Z,2021-10-19,36.57,157
3658,13738,548.26,val-658,unique-00003658,false,2020-01-01T01:00:58.000658Z,2021-10-20,36.58,158
3659,449499,549.23,val-659,unique-00003659,false,2020-01-01T01:00:59.000659Z,2021-10-21,36.59,159
3660,885260,550.2,val-660,unique-00003660,true,2020-01-01T01:01:00.000660Z,2021-10-22,36.6,160
3661,321021,551.17,val-661,unique-00003661,false,2020-01-01T01:01:01.000661Z,2021-10-23,36.61,
3662,756782,552.14,val-662,unique-00003662,false,2020-01-01T01:01:02.000662Z,2021-10-24,36.62,162
3663,192543,553.11,val-663,unique-00003663,true,2020-01-01T01:01:03.000663Z,2021-10-25,36.63,163
3664,628304,554.08,val-664,unique-00003664,false,2020-01-01T01:01:04.000664Z,2021-10-26,36.64,164
3665,64065,555.05,val-665,unique-00003665,false,2020-01-01T01:01:05.000665Z,2021-10-27,36.65,165
3666,499826,556.02,val-666,unique-00003666,true,2020-01-01T01:01:06.000666Z,2021-10-28,36.66,166
3667,935587,556.99,val-667,unique-00003667,false,2020-01-01T01:01:07.000667Z,2021-10-29,36.67,167
3668,371348,557.96,val-668,unique-00003668,false,2020-01-01T01:01:08.000668Z,2021-10-30,36.68,
3669,807109,558.93,val-669,unique-00003669,true,2020-01-01T01:01:09.000669Z,2021-10-31,36.69,169
3670,242870,559.9,val-670,unique-00003670,false,2020-01-01T01:01:10.000670Z,2021-11-01,36.7,170
3671,678631,560.87,val-671,unique-00003671,false,2020-01-01T01:01:11.000671Z,2021-11-02,36.71,171
3672,114392,561.84,val-672,unique-00003672,true,2020-01-01T01:01:12.000672Z,2021-11-03,36.72,172
3673,550153,562.81,val-673,unique-00003673,false,2020-01-01T01:01:13.000673Z,2021-11-04,36.73,173
3674,985914,563.78,val-674,unique-00003674,false,2020-01-01T01:01:14.000674Z,2021-11-05,36.74,174
3675,421675,564.75,val-675,unique-00003675,true,2020-01-01T01:01:15.000675Z,2021-11-06,36.75,
3676,857436,565.72,val-676,unique-00003676,false,2020-01-01T01:01:16.000676Z,2021-11-07,36.76,176
3677,293197,566.69,val-677,unique-00003677,false,2020-01-01T01:01:17.000677Z,2021-11-08,36.77,177
3678,728958,567.66,val-678,unique-00003678,true,2020-01-01T01:01:18.000678Z,2021-11-09,36.78,178
3679,164719,568.63,val-679,unique-00003679,false,2020-01-01T01:01:19.000679Z,2021-11-10,36.79,179
3680,600480,569.6,val-680,unique-00003680,false,2020-01-01T01:01:20.000680Z,2021-11-11,36.8,180
3681,36241,570.57,val-681,unique-00003681,true,2020-01-01T01:01:21.000681Z,2021-11-12,36.81,181
3682,472002,571.54,val-682,unique-00003682,false,2020-01-01T01:01:22.000682Z,2021-11-13,36.82,
3683,907763,572.51,val-683,unique-00003683,false,2020-01-01T01:01:23.000683Z,2021-11-14,36.83,183
3684,343524,573.48,val-684,unique-00003684,true,2020-01-01T01:01:24.000684Z,2021-11-15,36.84,184
3685,779285,574.45,val-685,unique-00003685,false,2020-01-01T01:01:25.000685Z,2021-11-16,36.85,185
3686,215046,575.42,val-686,unique-00003686,false,2020-01-01T01:01:26.000686Z,2021-11-17,36.86,186
3687,650807,576.39,val-687,unique-00003687,true,2020-01-01T01:01:27.000687Z,2021-11-18,36.87,187
3688,86568,577.36,val-688,unique-00003688,false,2020-01-01T01:01:28.000688Z,2021-11-19,36.88,188
3689,522329,578.33,val-689,unique-00003689,false,2020-01-01T01:01:29.000689Z,2021-11-20,36.89,
3690,958090,579.3,val-690,unique-00003690,true,2020-01-01T01:01:30.000690Z,2021-11-21,36.9,190
3691,393851,580.27,val-691,unique-00003691,false,2020-01-01T01:01:31.000691Z,2021-11-22,36.91,191
3692,829612,581.24,val-692,unique-00003692,false,2020-01-01T01:01:32.000692Z,2021-11-23,36.92,192
3693,265373,582.21,val-693,unique-00003693,true,2020-01-01T01:01:33.000693Z,2021-11-24,36.93,193
3694,701134,583.18,val-694,unique-00003694,false,2020-01-01T01:01:34.000694Z,2021-11-25,36.94,194
3695,136895,584.15,val-695,unique-00003695,false,2020-01-01T01:01:35.000695Z,2021-11-26,36.95,195
3696,572656,585.12,val-696,unique-00003696,true,2020-01-01T01:01:36.000696Z,2021-11-27,36.96,
3697,8417,586.09,val-697,unique-00003697,false,2020-01-01T01:01:37.000697Z,2021-11-28,36.97,197
3698,444178,587.06,val-698,unique-00003698,false,2020-01-01T01:01:38.000698Z,2021-11-29,36.98,198
3699,879939,588.03,val-699,unique-00003699,true,2020-01-01T01:01:39.000699Z,2021-11-30,36.99,199
3700,315700,589.0,val-700,unique-00003700,false,2020-01-01T01:01:40.000700Z,2021-12-01,37,200
3701,751461,589.97,val-701,unique-00003701,false,2020-01-01T01:01:41.000701Z,2021-12-02,37.01,201
3702,187222,590.94,val-702,unique-00003702,true,2020-01-01T01:01:42.000702Z,2021-12-03,37.02,202
3703,622983,591.91,val-703,unique-00003703,false,2020-01-01T01:01:43.000703Z,2021-12-04,37.03,
3704,58744,592.88,val-704,unique-00003704,false,2020-01-01T01:01:44.000704Z,2021-12-05,37.04,204
3705,494505,593.85,val-705,unique-00003705,true,2020-01-01T01:01:45.000705Z,2021-12-06,37.05,205
3706,930266,594.82,val-706,unique-00003706,false,2020-01-01T01:01:46.000706Z,2021-12-07,37.06,206
3707,366027,595.79,val-707,unique-00003707,false,2020-01-01T01:01:47.000707Z,2021-12-08,37.07,207
3708,801788,596.76,val-708,unique-00003708,true,2020-01-01T01:01:48.000708Z,2021-12-09,37.08,208
3709,237549,597.73,val-709,unique-00003709,false,2020-01-01T01:01:49.000709Z,2021-12-10,37.09,209
3710,673310,598.7,val-710,unique-00003710,false,2020-01-01T01:01:50.000710Z,2021-12-11,37.1,
3711,109071,599.67,val-711,unique-00003711,true,2020-01-01T01:01:51.000711Z,2021-12-12,37.11,211
3712,544832,600.64,val-712,unique-00003712,false,2020-01-01T01:01:52.000712Z,2021-12-13,37.12,212
3713,980593,601.61,val-713,unique-00003713,false,2020-01-01T01:01:53.000713Z,2021-12-14,37.13,213
3714,416354,602.58,val-714,unique-00003714,true,2020-01-01T01:01:54.000714Z,2021-12-15,37.14,214
3715,852115,603.55,val-715,unique-00003715,false,2020-01-01T01:01:55.000715Z,2021-12-16,37.15,215
3716,287876,604.52,val-716,unique-00003716,false,2020-01-01T01:01:56.000716Z,2021-12-17,37.16,216
3717,723637,605.49,val-717,unique-00003717,true,2020-01-01T01:01:57.000717Z,2021-12-18,37.17,
3718,159398,606.46,val-718,unique-00003718,false,2020-01-01T01:01:58.000718Z,2021-12-19,37.18,218
3719,595159,607.43,val-719,unique-00003719,false,2020-01-01T01:01:59.000719Z,2021-12-20,37.19,219
3720,30920,608.4,val-720,unique-00003720,true,2020-01-01T01:02:00.000720Z,2021-12-21,37.2,220
3721,466681,609.37,val-721,unique-00003721,false,2020-01-01T01:02:01.000721Z,2021-12-22,37.21,221
3722,902442,610.34,val-722,unique-00003722,false,2020-01-01T01:02:02.000722Z,2021-12-23,37.22,222
3723,338203,611.31,val-723,unique-00003723,true,2020-01-01T01:02:03.000723Z,2021-12-24,37.23,223
3724,773964,612.28,val-724,unique-00003724,false,2020-01-01T01:02:04.000724Z,2021-12-25,37.24,
3725,209725,613.25,val-725,unique-00003725,false,2020-01-01T01:02:05.000725Z,2021-12-26,37.25,225
3726,645486,614.22,val-726,unique-00003726,true,2020-01-01T01:02:06.000726Z,2021-12-27,37.26,226
3727,81247,615.19,val-727,unique-00003727,false,2020-01-01T01:02:07.000727Z,2021-12-28,37.27,227
3728,517008,616.16,val-728,unique-00003728,false,2020-01-01T01:02:08.000728Z,2021-12-29,37.28,228
3729,952769,617.13,val-729,unique-00003729,true,2020-01-01T01:02:09.000729Z,2021-12-30,37.29,229
3730,388530,618.1,val-730,unique-00003730,false,2020-01-01T01:02:10.000730Z,2021-12-31,37.3,230
3731,824291,619.07,val-731,unique-00003731,false,2020-01-01T01:02:11.000731Z,2022-01-01,37.31,
3732,260052,620.04,val-732,unique-00003732,true,2020-01-01T01:02:12.000732Z,2022-01-02,37.32,232
3733,695813,621.01,val-733,unique-00003733,false,2020-01-01T01:02:13.000733Z,2022-01-03,37.33,233
3734,131574,621.98,val-734,unique-00003734,false,2020-01-01T01:02:14.000734Z,2022-01-04,37.34,234
3735,567335,622.95,val-735,unique-00003735,true,2020-01-01T01:02:15.000735Z,2022-01-05,37.35,235
3736,3096,623.92,val-736,unique-00003736,false,2020-01-01T01:02:16.000736Z,2022-01-06,37.36,236
3737,438857,624.89,val-737,unique-00003737,false,2020-01-01T01:02:17.000737Z,2022-01-07,37.37,237
3738,874618,625.86,val-738,unique-00003738,true,2020-01-01T01:02:18.000738Z,2022-01-08,37.38,
3739,310379,626.83,val-739,unique-00003739,false,2020-01-01T01:02:19.000739Z,2022-01-09,37.39,239
3740,746140,627.8,val-740,unique-00003740,false,2020-01-01T01:02:20.000740Z,2022-01-10,37.4,240
3741,181901,628.77,val-741,unique-00003741,true,2020-01-01T01:02:21.000741Z,2022-01-11,37.41,241
3742,617662,629.74,val-742,unique-00003742,false,2020-01-01T01:02:22.000742Z,2022-01-12,37.42,242
3743,53423,630.71,val-743,unique-00003743,false,2020-01-01T01:02:23.000743Z,2022-01-13,37.43,243
3744,489184,631.68,val-744,unique-00003744,true,2020-01-01T01:02:24.000744Z,2022-01-14,37.44,244
3745,924945,632.65,val-745,unique-00003745,false,2020-01-01T01:02:25.000745Z,2022-01-15,37.45,
3746,360706,633.62,val-746,unique-00003746,false,2020-01-01T01:02:26.000746Z,2022-01-16,37.46,246
3747,796467,634.59,val-747,unique-00003747,true,2020-01-01T01:02:27.000747Z,2022-01-17,37.47,247
3748,232228,635.56,val-748,unique-00003748,false,2020-01-01T01:02:28.000748Z,2022-01-18,37.48,248
3749,667989,636.53,val-749,unique-00003749,false,2020-01-01T01:02:29.000749Z,2022-01-19,37.49,249
3750,103750,637.5,val-750,unique-00003750,true,2020-01-01T01:02:30.000750Z,2022-01-20,37.5,250
3751,539511,638.47,val-751,unique-00003751,false,2020-01-01T01:02:31.000751Z,2022-01-21,37.51,251
3752,975272,639.44,val-752,unique-00003752,false,2020-01-01T01:02:32.000752Z,2022-01-22,37.52,
3753,411033,640.41,val-753,unique-00003753,true,2020-01-01T01:02:33.000753Z,2022-01-23,37.53,253
3754,846794,641.38,val-754,unique-00003754,false,2020-01-01T01:02:34.000754Z,2022-01-24,37.54,254
3755,282555,642.35,val-755,unique-00003755,false,2020-01-01T01:02:35.000755Z,2022-01-25,37.55,255
3756,718316,643.32,val-756,unique-00003756,true,2020-01-01T01:02:36.000756Z,2022-01-26,37.56,256
3757,154077,644.29,val-757,unique-00003757,false,2020-01-01T01:02:37.000757Z,2022-01-27,37.57,257
3758,589838,645.26,val-758,unique-00003758,false,2020-01-01T01:02:38.000758Z,2022-01-28,37.58,258
3759,25599,646.23,val-759,unique-00003759,true,2020-01-01T01:02:39.000759Z,2022-01-29,37.59,
3760,461360,647.2,val-760,unique-00003760,false,2020-01-01T01:02:40.000760Z,2022-01-30,37.6,260
3761,897121,648.17,val-761,unique-00003761,false,2020-01-01T01:02:41.000761Z,2022-01-31,37.61,261
3762,332882,649.14,val-762,unique-00003762,true,2020-01-01T01:02:42.000762Z,2022-02-01,37.62,262
3763,768643,650.11,val-763,unique-00003763,false,2020-01-01T01:02:43.000763Z,2022-02-02,37.63,263
3764,204404,651.08,val-764,unique-00003764,false,2020-01-01T01:02:44.000764Z,2022-02-03,37.64,264
3765,640165,652.05,val-765,unique-00003765,true,2020-01-01T01:02:45.000765Z,2022-02-04,37.65,265
3766,75926,653.02,val-766,unique-00003766,false,2020-01-01T01:02:46.000766Z,2022-02-05,37.66,
3767,511687,653.99,val-767,unique-00003767,false,2020-01-01T01:02:47.000767Z,2022-02-06,37.67,267
3768,947448,654.96,val-768,unique-00003768,true,2020-01-01T01:02:48.000768Z,2022-02-07,37.68,268
3769,383209,655.93,val-769,unique-00003769,false,2020-01-01T01:02:49.000769Z,2022-02-08,37.69,269
3770,818970,656.9,val-770,unique-00003770,false,2020-01-01T01:02:50.000770Z,2022-02-09,37.7,270
3771,254731,657.87,val-771,unique-00003771,true,2020-01-01T01:02:51.000771Z,2022-02-10,37.71,271
3772,690492,658.84,val-772,unique-00003772,false,2020-01-01T01:02:52.000772Z,2022-02-11,37.72,272
3773,126253,659.81,val-773,unique-00003773,false,2020-01-01T01:02:53.000773Z,2022-02-12,37.73,
3774,562014,660.78,val-774,unique-00003774,true,2020-01-01T01:02:54.000774Z,2022-02-13,37.74,274
3775,997775,661.75,val-775,unique-00003775,false,2020-01-01T01:02:55.000775Z,2022-02-14,37.75,275
3776,433536,662.72,val-776,unique-00003776,false,2020-01-01T01:02:56.000776Z,2022-02-15,37.76,276
3777,869297,663.69,val-777,unique-00003777,true,2020-01-01T01:02:57.000777Z,2022-02-16,37.77,277
3778,305058,664.66,val-778,unique-00003778,false,2020-01-01T01:02:58.000778Z,2022-02-17,37.78,278
3779,740819,665.63,val-779,unique-00003779,false,2020-01-01T01:02:59.000779Z,2022-02-18,37.79,279
3780,176580,666.6,val-780,unique-00003780,true,2020-01-01T01:03:00.000780Z,2022-02-19,37.8,
3781,612341,667.57,val-781,unique-00003781,false,2020-01-01T01:03:01.000781Z,2022-02-20,37.81,281
3782,48102,668.54,val-782,unique-00003782,false,2020-01-01T01:03:02.000782Z,2022-02-21,37.82,282
3783,483863,669.51,val-783,unique-00003783,true,2020-01-01T01:03:03.000783Z,2022-02-22,37.83,283
3784,919624,670.48,val-784,unique-00003784,false,2020-01-01T01:03:04.000784Z,2022-02-23,37.84,284
3785,355385,671.45,val-785,unique-00003785,false,2020-01-01T01:03:05.000785Z,2022-02-24,37.85,285
3786,791146,672.42,val-786,unique-00003786,true,2020-01-01T01:03:06.000786Z,2022-02-25,37.86,286
3787,226907,673.39,val-787,unique-00003787,false,2020-01-01T01:03:07.000787Z,2022-02-26,37.87,
3788,662668,674.36,val-788,unique-00003788,false,2020-01-01T01:03:08.000788Z,2022-02-27,37.88,288
3789,98429,675.33,val-789,unique-00003789,true,2020-01-01T01:03:09.000789Z,2022-02-28,37.89,289
3790,534190,676.3,val-790,unique-00003790,false,2020-01-01T01:03:10.000790Z,2022-03-01,37.9,290
3791,969951,677.27,val-791,unique-00003791,false,2020-01-01T01:03:11.000791Z,2022-03-02,37.91,291
3792,405712,678.24,val-792,unique-00003792,true,2020-01-01T01:03:12.000792Z,2022-03-03,37.92,292
3793,841473,679.21,val-793,unique-00003793,false,2020-01-01T01:03:13.000793Z,2022-03-04,37.93,293
3794,277234,680.18,val-794,unique-00003794,false,2020-01-01T01:03:14.000794Z,2022-03-05,37.94,
3795,712995,681.15,val-795,unique-00003795,true,2020-01-01T01:03:15.000795Z,2022-03-06,37.95,295
3796,148756,682.12,val-796,unique-00003796,false,2020-01-01T01:03:16.000796Z,2022-03-07,37.96,296
3797,584517,683.09,val-797,unique-00003797,false,2020-01-01T01:03:17.000797Z,2022-03-08,37.97,297
3798,20278,684.06,val-798,unique-00003798,true,2020-01-01T01:03:18.000798Z,2022-03-09,37.98,298
3799,456039,685.03,val-799,unique-00003799,false,2020-01-01T01:03:19.000799Z,2022-03-10,37.99,299
3800,891800,686.0,val-800,unique-00003800,false,2020-01-01T01:03:20.000800Z,2022-03-11,38,300
3801,327561,686.97,val-801,unique-00003801,true,2020-01-01T01:03:21.000801Z,2022-03-12,38.01,
3802,763322,687.94,val-802,unique-00003802,false,2020-01-01T01:03:22.000802Z,2022-03-13,38.02,302
3803,199083,688.91,val-803,unique-00003803,false,2020-01-01T01:03:23.000803Z,2022-03-14,38.03,303
3804,634844,689.88,val-804,unique-00003804,true,2020-01-01T01:03:24.000804Z,2022-03-15,38.04,304
3805,70605,690.85,val-805,unique-00003805,false,2020-01-01T01:03:25.000805Z,2022-03-16,38.05,305
3806,506366,691.82,val-806,unique-00003806,false,2020-01-01T01:03:26.000806Z,2022-03-17,38.06,306
3807,942127,692.79,val-807,unique-00003807,true,2020-01-01T01:03:27.000807Z,2022-03-18,38.07,307
3808,377888,693.76,val-808,unique-00003808,false,2020-01-01T01:03:28.000808Z,2022-03-19,38.08,
3809,813649,694.73,val-809,unique-00003809,false,2020-01-01T01:03:29.000809Z,2022-03-20,38.09,309
3810,249410,695.7,val-810,unique-00003810,true,2020-01-01T01:03:30.000810Z,2022-03-21,38.1,310
3811,685171,696.67,val-811,unique-00003811,false,2020-01-01T01:03:31.000811Z,2022-03-22,38.11,311
3812,120932,697.64,val-812,unique-00003812,false,2020-01-01T01:03:32.000812Z,2022-03-23,38.12,312
3813,556693,698.61,val-813,unique-00003813,true,2020-01-01T01:03:33.000813Z,2022-03-24,38.13,313
3814,992454,699.58,val-814,unique-00003814,false,2020-01-01T01:03:34.000814Z,2022-03-25,38.14,314
3815,428215,700.55,val-815,unique-00003815,false,2020-01-01T01:03:35.000815Z,2022-03-26,38.15,
3816,863976,701.52,val-816,unique-00003816,true,2020-01-01T01:03:36.000816Z,2022-03-27,38.16,316
3817,299737,702.49,val-817,unique-00003817,false,2020-01-01T01:03:37.000817Z,2022-03-28,38.17,317
3818,735498,703.46,val-818,unique-00003818,false,2020-01-01T01:03:38.000818Z,2022-03-29,38.18,318
3819,171259,704.43,val-819,unique-00003819,true,2020-01-01T01:03:39.000819Z,2022-03-30,38.19,319
3820,607020,705.4,val-820,unique-00003820,false,2020-01-01T01:03:40.000820Z,2022-03-31,38.2,320
3821,42781,706.37,val-821,unique-00003821,false,2020-01-01T01:03:41.000821Z,2022-04-01,38.21,321
3822,478542,707.34,val-822,unique-00003822,true,2020-01-01T01:03:42.000822Z,2022-04-02,38.22,
3823,914303,708.31,val-823,unique-00003823,false,2020-01-01T01:03:43.000823Z,2022-04-03,38.23,323
3824,350064,709.28,val-824,unique-00003824,false,2020-01-01T01:03:44.000824Z,2022-04-04,38.24,324
3825,785825,710.25,val-825,unique-00003825,true,2020-01-01T01:03:45.000825Z,2022-04-05,38.25,325
3826,221586,711.22,val-826,unique-00003826,false,2020-01-01T01:03:46.000826Z,2022-04-06,38.26,326
3827,657347,712.19,val-827,unique-00003827,false,2020-01-01T01:03:47.000827Z,2022-04-07,38.27,327
3828,93108,713.16,val-828,unique-00003828,true,2020-01-01T01:03:48.000828Z,2022-04-08,38.28,328
3829,528869,714.13,val-829,unique-00003829,false,2020-01-01T01:03:49.000829Z,2022-04-09,38.29,
3830,964630,715.1,val-830,unique-00003830,false,2020-01-01T01:03:50.000830Z,2022-04-10,38.3,330
3831,400391,716.07,val-831,unique-00003831,true,2020-01-01T01:03:51.000831Z,2022-04-11,38.31,331
3832,836152,717.04,val-832,unique-00003832,false,2020-01-01T01:03:52.000832Z,2022-04-12,38.32,332
3833,271913,718.01,val-833,unique-00003833,false,2020-01-01T01:03:53.000833Z,2022-04-13,38.33,333
3834,707674,718.98,val-834,unique-00003834,true,2020-01-01T01:03:54.000834Z,2022-04-14,38.34,334
3835,143435,719.95,val-835,unique-00003835,false,2020-01-01T01:03:55.000835Z,2022-04-15,38.35,335
3836,579196,720.92,val-836,unique-00003836,false,2020-01-01T01:03:56.000836Z,2022-04-16,38.36,
3837,14957,721.89,val-837,unique-00003837,true,2020-01-01T01:03:57.000837Z,2022-04-17,38.37,337
3838,450718,722.86,val-838,unique-00003838,false,2020-01-01T01:03:58.000838Z,2022-04-18,38.38,338
3839,886479,723.83,val-839,unique-00003839,false,2020-01-01T01:03:59.000839Z,2022-04-19,38.39,339
3840,322240,724.8,val-840,unique-00003840,true,2020-01-01T01:04:00.000840Z,2022-04-20,38.4,340
3841,758001,725.77,val-841,unique-00003841,false,2020-01-01T01:04:01.000841Z,2022-04-21,38.41,341
3842,193762,726.74,val-842,unique-00003842,false,2020-01-01T01:04:02.000842Z,2022-04-22,38.42,342
3843,629523,727.71,val-843,unique-00003843,true,2020-01-01T01:04:03.000843Z,2022-04-23,38.43,
3844,65284,728.68,val-844,unique-00003844,false,2020-01-01T01:04:04.000844Z,2022-04-24,38.44,344
3845,501045,729.65,val-845,unique-00003845,false,2020-01-01T01:04:05.000845Z,2022-04-25,38.45,345
3846,936806,730.62,val-846,unique-00003846,true,2020-01-01T01:04:06.000846Z,2022-04-26,38.46,346
3847,372567,731.59,val-847,unique-00003847,false,2020-01-01T01:04:07.000847Z,2022-04-27,38.47,347
3848,808328,732.56,val-848,unique-00003848,false,2020-01-01T01:04:08.000848Z,2022-04-28,38.48,348
3849,244089,733.53,val-849,unique-00003849,true,2020-01-01T01:04:09.000849Z,2022-04-29,38.49,349
3850,679850,734.5,val-850,unique-00003850,false,2020-01-01T01:04:10.000850Z,2022-04-30,38.5,
3851,115611,735.47,val-851,unique-00003851,false,2020-01-01T01:04:11.000851Z,2022-05-01,38.51,351
3852,551372,736.44,val-852,unique-00003852,true,2020-01-01T01:04:12.000852Z,2022-05-02,38.52,352
3853,987133,737.41,val-853,unique-00003853,false,2020-01-01T01:04:13.000853Z,2022-05-03,38.53,353
3854,422894,738.38,val-854,unique-00003854,false,2020-01-01T01:04:14.000854Z,2022-05-04,38.54,354
3855,858655,739.35,val-855,unique-00003855,true,2020-01-01T01:04:15.000855Z,2022-05-05,38.55,355
3856,294416,740.32,val-856,unique-00003856,false,2020-01-01T01:04:16.000856Z,2022-05-06,38.56,356
3857,730177,741.29,val-857,unique-00003857,false,2020-01-01T01:04:17.000857Z,2022-05-07,38.57,
3858,165938,742.26,val-858,unique-00003858,true,2020-01-01T01:04:18.000858Z,2022-05-08,38.58,358
