id,region,amount,note
998,r2,369.26,row-00998
999,r3,369.63,row-00999
1000,r0,370.0,row-01000
1001,r1,370.37,row-01001
1002,r2,370.74,row-01002
1003,r3,371.11,row-01003
1004,r0,371.48,row-01004
1005,r1,371.85,row-01005
1006,r2,372.22,row-01006
1007,r3,372.59,row-01007
1008,r0,372.96,row-01008
1009,r1,373.33,row-01009
1010,r2,373.7,row-01010
1011,r3,374.07,row-01011
1012,r0,374.44,row-01012
1013,r1,374.81,row-01013
1014,r2,375.18,row-01014
1015,r3,375.55,row-01015
1016,r0,375.92,row-01016
1017,r1,376.29,row-01017
1018,r2,376.66,row-01018
1019,r3,377.03,row-01019
1020,r0,377.4,row-01020
1021,r1,377.77,row-01021
1022,r2,378.14,row-01022
1023,r3,378.51,row-01023
1024,r0,378.88,row-01024
1025,r1,379.25,row-01025
1026,r2,379.62,row-01026
1027,r3,379.99,row-01027
1028,r0,380.36,row-01028
1029,r1,380.73,row-01029
1030,r2,381.1,row-01030
1031,r3,381.47,row-01031
1032,r0,381.84,row-01032
1033,r1,382.21,row-01033
1034,r2,382.58,row-01034
1035,r3,382.95,row-01035
1036,r0,383.32,row-01036
1037,r1,383.69,row-01037
1038,r2,384.06,row-01038
1039,r3,384.43,row-01039
1040,r0,384.8,row-01040
1041,r1,385.17,row-01041
1042,r2,385.54,row-01042
1043,r3,385.91,row-01043
1044,r0,386.28,row-01044
1045,r1,386.65,row-01045
1046,r2,387.02,row-01046
1047,r3,387.39,row-01047
1048,r0,387.76,row-01048
1049,r1,388.13,row-01049
1050,r2,388.5,row-01050
1051,r3,388.87,row-01051
1052,r0,389.24,row-01052
1053,r1,389.61,row-01053
1054,r2,389.98,row-01054
1055,r3,390.35,row-01055
1056,r0,390.72,row-01056
1057,r1,391.09,row-01057
1058,r2,391.46,row-01058
1059,r3,391.83,row-01059
1060,r0,392.2,row-01060
1061,r1,392.57,row-01061
1062,r2,392.94,row-01062
1063,r3,393.31,row-01063
1064,r0,393.68,row-01064
1065,r1,394.05,row-01065
1066,r2,394.42,row-01066
1067,r3,394.79,row-01067
1068,r0,395.16,row-01068
1069,r1,395.53,row-01069
1070,r2,395.9,row-01070
1071,r3,396.27,row-01071
1072,r0,396.64,row-01072
1073,r1,397.01,row-01073
1074,r2,397.38,row-01074
1075,r3,397.75,row-01075
1076,r0,398.12,row-01076
1077,r1,398.49,row-01077
1078,r2,398.86,row-01078
1079,r3,399.23,row-01079
1080,r0,399.6,row-01080
1081,r1,399.97,row-01081
1082,r2,400.34,row-01082
1083,r3,400.71,row-01083
1084,r0,401.08,row-01084
1085,r1,401.45,row-01085
1086,r2,401.82,row-01086
1087,r3,402.19,row-01087
1088,r0,402.56,row-01088
1089,r1,402.93,row-01089
1090,r2,403.3,row-01090
1091,r3,403.67,row-01091
1092,r0,404.04,row-01092
1093,r1,404.41,row-01093
1094,r2,404.78,row-01094
1095,r3,405.15,row-01095
1096,r0,405.52,row-01096
1097,r1,405.89,row-01097
1098,r2,406.26,row-01098
1099,r3,406.63,row-01099
1100,r0,407.0,row-01100
1101,r1,407.37,row-01101
1102,r2,407.74,row-01102
1103,r3,408.11,row-01103
1104,r0,408.48,row-01104
1105,r1,408.85,row-01105
1106,r2,409.22,row-01106
1107,r3,409.59,row-01107
1108,r0,409.96,row-01108
1109,r1,410.33,row-01109
1110,r2,410.7,row-01110
1111,r3,411.07,row-01111
1112,r0,411.44,row-01112
1113,r1,411.81,row-01113
1114,r2,412.18,row-01114
1115,r3,412.55,row-01115
1116,r0,412.92,row-01116
1117,r1,413.29,row-01117
1118,r2,413.66,row-01118
1119,r3,414.03,row-01119
1120,r0,414.4,row-01120
1121,r1,414.77,row-01121
1122,r2,415.14,row-01122
1123,r3,415.51,row-01123
1124,r0,415.88,row-01124
1125,r1,416.25,row-01125
1126,r2,416.62,row-01126
1127,r3,416.99,row-01127
1128,r0,417.36,row-01128
1129,r1,417.73,row-01129
1130,r2,418.1,row-01130
1131,r3,418.47,row-01131
1132,r0,418.84,row-01132
1133,r1,419.21,row-01133
1134,r2,419.58,row-01134
1135,r3,419.95,row-01135
1136,r0,420.32,row-01136
1137,r1,420.69,row-01137
1138,r2,421.06,row-01138
1139,r3,421.43,row-01139
1140,r0,421.8,row-01140
1141,r1,422.17,row-01141
1142,r2,422.54,row-01142
1143,r3,422.91,row-01143
1144,r0,423.28,row-01144
1145,r1,423.65,row-01145
1146,r2,424.02,row-01146
1147,r3,424.39,row-01147
1148,r0,424.76,row-01148
1149,r1,425.13,row-01149
1150,r2,425.5,row-01150
1151,r3,425.87,row-01151
1152,r0,426.24,row-01152
1153,r1,426.61,row-01153
1154,r2,426.98,row-01154
1155,r3,427.35,row-01155
1156,r0,427.72,row-01156
1157,r1,428.09,row-01157
1158,r2,428.46,row-01158
1159,r3,428.83,row-01159
1160,r0,429.2,row-01160
1161,r1,429.57,row-01161
1162,r2,429.94,row-01162
1163,r3,430.31,row-01163
1164,r0,430.68,row-01164
1165,r1,431.05,row-01165
1166,r2,431.42,row-01166
1167,r3,431.79,row-01167
1168,r0,432.16,row-01168
1169,r1,432.53,row-01169
1170,r2,432.9,row-01170
1171,r3,433.27,row-01171
1172,r0,433.64,row-01172
1173,r1,434.01,row-01173
1174,r2,434.38,row-01174
1175,r3,434.75,row-01175
1176,r0,435.12,row-01176
1177,r1,435.49,row-01177
1178,r2,435.86,row-01178
1179,r3,436.23,row-01179
1180,r0,436.6,row-01180
1181,r1,436.97,row-01181
1182,r2,437.34,row-01182
1183,r3,437.71,row-01183
1184,r0,438.08,row-01184
1185,r1,438.45,row-01185
1186,r2,438.82,row-01186
1187,r3,439.19,row-01187
1188,r0,439.56,row-01188
1189,r1,439.93,row-01189
1190,r2,440.3,row-01190
1191,r3,440.67,row-01191
1192,r0,441.04,row-01192
1193,r1,441.41,row-01193
1194,r2,441.78,row-01194
1195,r3,442.15,row-01195
1196,r0,442.52,row-01196
1197,r1,442.89,row-01197
1198,r2,443.26,row-01198
1199,r3,443.63,row-01199
1200,r0,444.0,row-01200
1201,r1,444.37,row-01201
1202,r2,444.74,row-01202
1203,r3,445.11,row-01203
1204,r0,445.48,row-01204
1205,r1,445.85,row-01205
1206,r2,446.22,row-01206
1207,r3,446.59,row-01207
1208,r0,446.96,row-01208
1209,r1,447.33,row-01209
1210,r2,447.7,row-01210
1211,r3,448.07,row-01211
1212,r0,448.44,row-01212
1213,r1,448.81,row-01213
1214,r2,449.18,row-01214
1215,r3,449.55,row-01215
1216,r0,449.92,row-01216
1217,r1,450.29,row-01217
1218,r2,450.66,row-01218
1219,r3,451.03,row-01219
1220,r0,451.4,row-01220
1221,r1,451.77,row-01221
1222,r2,452.14,row-01222
1223,r3,452.51,row-01223
1224,r0,452.88,row-01224
1225,r1,453.25,row-01225
1226,r2,453.62,row-01226
1227,r3,453.99,row-01227
1228,r0,454.36,row-01228
1229,r1,454.73,row-01229
1230,r2,455.1,row-01230
1231,r3,455.47,row-01231
1232,r0,455.84,row-01232
1233,r1,456.21,row-01233
1234,r2,456.58,row-01234
1235,r3,456.95,row-01235
1236,r0,457.32,row-01236
1237,r1,457.69,row-01237
1238,r2,458.06,row-01238
1239,r3,458.43,row-01239
1240,r0,458.8,row-01240
1241,r1,459.17,row-01241
1242,r2,459.54,row-01242
1243,r3,459.91,row-01243
1244,r0,460.28,row-01244
1245,r1,460.65,row-01245
1246,r2,461.02,row-01246
1247,r3,461.39,row-01247
1248,r0,461.76,row-01248
1249,r1,462.13,row-01249
1250,r2,462.5,row-01250
1251,r3,462.87,row-01251
1252,r0,463.24,row-01252
1253,r1,463.61,row-01253
1254,r2,463.98,row-01254
1255,r3,464.35,row-01255
1256,r0,464.72,row-01256
1257,r1,465.09,row-01257
1258,r2,465.46,row-01258
1259,r3,465.83,row-01259
1260,r0,466.2,row-01260
1261,r1,466.57,row-01261
1262,r2,466.94,row-01262
1263,r3,467.31,row-01263
1264,r0,467.68,row-01264
1265,r1,468.05,row-01265
1266,r2,468.42,row-01266
1267,r3,468.79,row-01267
1268,r0,469.16,row-01268
1269,r1,469.53,row-01269
1270,r2,469.9,row-01270
1271,r3,470.27,row-01271
1272,r0,470.64,row-01272
1273,r1,471.01,row-01273
1274,r2,471.38,row-01274
1275,r3,471.75,row-01275
1276,r0,472.12,row-01276
1277,r1,472.49,row-01277
1278,r2,472.86,row-01278
1279,r3,473.23,row-01279
1280,r0,473.6,row-01280
1281,r1,473.97,row-01281
1282,r2,474.34,row-01282
1283,r3,474.71,row-01283
1284,r0,475.08,row-01284
1285,r1,475.45,row-01285
1286,r2,475.82,row-01286
1287,r3,476.19,row-01287
1288,r0,476.56,row-01288
1289,r1,476.93,row-01289
1290,r2,477.3,row-01290
1291,r3,477.67,row-01291
1292,r0,478.04,row-01292
1293,r1,478.41,row-01293
1294,r2,478.78,row-01294
1295,r3,479.15,row-01295
1296,r0,479.52,row-01296
1297,r1,479.89,row-01297
1298,r2,480.26,row-01298
1299,r3,480.63,row-01299
1300,r0,481.0,row-01300
1301,r1,481.37,row-01301
1302,r2,481.74,row-01302
1303,r3,482.11,row-01303
1304,r0,482.48,row-01304
1305,r1,482.85,row-01305
1306,r2,483.22,row-01306
1307,r3,483.59,row-01307
1308,r0,483.96,row-01308
1309,r1,484.33,row-01309
1310,r2,484.7,row-01310
1311,r3,485.07,row-01311
1312,r0,485.44,row-01312
1313,r1,485.81,row-01313
1314,r2,486.18,row-01314
1315,r3,486.55,row-01315
1316,r0,486.92,row-01316
1317,r1,487.29,row-01317
1318,r2,487.66,row-01318
1319,r3,488.03,row-01319
1320,r0,488.4,row-01320
1321,r1,488.77,row-01321
1322,r2,489.14,row-01322
1323,r3,489.51,row-01323
1324,r0,489.88,row-01324
1325,r1,490.25,row-01325
1326,r2,490.62,row-01326
1327,r3,490.99,row-01327
1328,r0,491.36,row-01328
1329,r1,491.73,row-01329
1330,r2,492.1,row-01330
1331,r3,492.47,row-01331
1332,r0,492.84,row-01332
1333,r1,493.21,row-01333
1334,r2,493.58,row-01334
1335,r3,493.95,row-01335
1336,r0,494.32,row-01336
1337,r1,494.69,row-01337
1338,r2,495.06,row-01338
1339,r3,495.43,row-01339
1340,r0,495.8,row-01340
1341,r1,496.17,row-01341
1342,r2,496.54,row-01342
1343,r3,496.91,row-01343
1344,r0,497.28,row-01344
1345,r1,497.65,row-01345
1346,r2,498.02,row-01346
1347,r3,498.39,row-01347
1348,r0,498.76,row-01348
1349,r1,499.13,row-01349
1350,r2,499.5,row-01350
1351,r3,499.87,row-01351
1352,r0,500.24,row-01352
1353,r1,500.61,row-01353
1354,r2,500.98,row-01354
1355,r3,501.35,row-01355
1356,r0,501.72,row-01356
1357,r1,502.09,row-01357
1358,r2,502.46,row-01358
1359,r3,502.83,row-01359
1360,r0,503.2,row-01360
1361,r1,503.57,row-01361
1362,r2,503.94,row-01362
1363,r3,504.31,row-01363
1364,r0,504.68,row-01364
1365,r1,505.05,row-01365
1366,r2,505.42,row-01366
1367,r3,505.79,row-01367
1368,r0,506.16,row-01368
1369,r1,506.53,row-01369
1370,r2,506.9,row-01370
1371,r3,507.27,row-01371
1372,r0,507.64,row-01372
1373,r1,508.01,row-01373
1374,r2,508.38,row-01374
1375,r3,508.75,row-01375
1376,r0,509.12,row-01376
1377,r1,509.49,row-01377
1378,r2,509.86,row-01378
1379,r3,510.23,row-01379
1380,r0,510.6,row-01380
1381,r1,510.97,row-01381
1382,r2,511.34,row-01382
1383,r3,511.71,row-01383
1384,r0,512.08,row-01384
1385,r1,512.45,row-01385
1386,r2,512.82,row-01386
1387,r3,513.19,row-01387
1388,r0,513.56,row-01388
1389,r1,513.93,row-01389
1390,r2,514.3,row-01390
1391,r3,514.67,row-01391
1392,r0,515.04,row-01392
1393,r1,515.41,row-01393
1394,r2,515.78,row-01394
1395,r3,516.15,row-01395
1396,r0,516.52,row-01396
1397,r1,516.89,row-01397
1398,r2,517.26,row-01398
1399,r3,517.63,row-01399
1400,r0,518.0,row-01400
1401,r1,518.37,row-01401
1402,r2,518.74,row-01402
1403,r3,519.11,row-01403
1404,r0,519.48,row-01404
1405,r1,519.85,row-01405
1406,r2,520.22,row-01406
1407,r3,520.59,row-01407
1408,r0,520.96,row-01408
1409,r1,521.33,row-01409
1410,r2,521.7,row-01410
1411,r3,522.07,row-01411
1412,r0,522.44,row-01412
1413,r1,522.81,row-01413
1414,r2,523.18,row-01414
1415,r3,523.55,row-01415
1416,r0,523.92,row-01416
1417,r1,524.29,row-01417
1418,r2,524.66,row-01418
1419,r3,525.03,row-01419
1420,r0,525.4,row-01420
1421,r1,525.77,row-01421
1422,r2,526.14,row-01422
1423,r3,526.51,row-01423
1424,r0,526.88,row-01424
1425,r1,527.25,row-01425
1426,r2,527.62,row-01426
1427,r3,527.99,row-01427
1428,r0,528.36,row-01428
1429,r1,528.73,row-01429
1430,r2,529.1,row-01430
1431,r3,529.47,row-01431
1432,r0,529.84,row-01432
1433,r1,530.21,row-01433
1434,r2,530.58,row-01434
1435,r3,530.95,row-01435
1436,r0,531.32,row-01436
1437,r1,531.69,row-01437
1438,r2,532.06,row-01438
1439,r3,532.43,row-01439
1440,r0,532.8,row-01440
1441,r1,533.17,row-01441
1442,r2,533.54,row-01442
1443,r3,533.91,row-01443
1444,r0,534.28,row-01444
1445,r1,534.65,row-01445
1446,r2,535.02,row-01446
1447,r3,535.39,row-01447
1448,r0,535.76,row-01448
1449,r1,536.13,row-01449
1450,r2,536.5,row-01450
1451,r3,536.87,row-01451
1452,r0,537.24,row-01452
1453,r1,537.61,row-01453
1454,r2,537.98,row-01454
1455,r3,538.35,row-01455
1456,r0,538.72,row-01456
1457,r1,539.09,row-01457
1458,r2,539.46,row-01458
1459,r3,539.83,row-01459
1460,r0,540.2,row-01460
1461,r1,540.57,row-01461
1462,r2,540.94,row-01462
1463,r3,541.31,row-01463
1464,r0,541.68,row-01464
1465,r1,542.05,row-01465
1466,r2,542.42,row-01466
1467,r3,542.79,row-01467
1468,r0,543.16,row-01468
1469,r1,543.53,row-01469
1470,r2,543.9,row-01470
1471,r3,544.27,row-01471
1472,r0,544.64,row-01472
1473,r1,545.01,row-01473
1474,r2,545.38,row-01474
1475,r3,545.75,row-01475
1476,r0,546.12,row-01476
1477,r1,546.49,row-01477
1478,r2,546.86,row-01478
1479,r3,547.23,row-01479
1480,r0,547.6,row-01480
1481,r1,547.97,row-01481
1482,r2,548.34,row-01482
1483,r3,548.71,row-01483
1484,r0,549.08,row-01484
1485,r1,549.45,row-01485
1486,r2,549.82,row-01486
1487,r3,550.19,row-01487
1488,r0,550.56,row-01488
1489,r1,550.93,row-01489
1490,r2,551.3,row-01490
1491,r3,551.67,row-01491
1492,r0,552.04,row-01492
1493,r1,552.41,row-01493
1494,r2,552.78,row-01494
1495,r3,553.15,row-01495
1496,r0,553.52,row-01496
1497,r1,553.89,row-01497
1498,r2,554.26,row-01498
1499,r3,554.63,row-01499
1500,r0,555.0,row-01500
1501,r1,555.37,row-01501
1502,r2,555.74,row-01502
1503,r3,556.11,row-01503
1504,r0,556.48,row-01504
1505,r1,556.85,row-01505
1506,r2,557.22,row-01506
1507,r3,557.59,row-01507
1508,r0,557.96,row-01508
1509,r1,558.33,row-01509
1510,r2,558.7,row-01510
1511,r3,559.07,row-01511
1512,r0,559.44,row-01512
1513,r1,559.81,row-01513
1514,r2,560.18,row-01514
1515,r3,560.55,row-01515
1516,r0,560.92,row-01516
1517,r1,561.29,row-01517
1518,r2,561.66,row-01518
1519,r3,562.03,row-01519
1520,r0,562.4,row-01520
1521,r1,562.77,row-01521
1522,r2,563.14,row-01522
1523,r3,563.51,row-01523
1524,r0,563.88,row-01524
1525,r1,564.25,row-01525
1526,r2,564.62,row-01526
1527,r3,564.99,row-01527
1528,r0,565.36,row-01528
1529,r1,565.73,row-01529
1530,r2,566.1,row-01530
1531,r3,566.47,row-01531
1532,r0,566.84,row-01532
1533,r1,567.21,row-01533
1534,r2,567.58,row-01534
1535,r3,567.95,row-01535
1536,r0,568.32,row-01536
1537,r1,568.69,row-01537
1538,r2,569.06,row-01538
1539,r3,569.43,row-01539
1540,r0,569.8,row-01540
1541,r1,570.17,row-01541
1542,r2,570.54,row-01542
1543,r3,570.91,row-01543
1544,r0,571.28,row-01544
1545,r1,571.65,row-01545
1546,r2,572.02,row-01546
1547,r3,572.39,row-01547
1548,r0,572.76,row-01548
1549,r1,573.13,row-01549
1550,r2,573.5,row-01550
1551,r3,573.87,row-01551
1552,r0,574.24,row-01552
1553,r1,574.61,row-01553
1554,r2,574.98,row-01554
1555,r3,575.35,row-01555
1556,r0,575.72,row-01556
1557,r1,576.09,row-01557
1558,r2,576.46,row-01558
1559,r3,576.83,row-01559
1560,r0,577.2,row-01560
1561,r1,577.57,row-01561
1562,r2,577.94,row-01562
1563,r3,578.31,row-01563
1564,r0,578.68,row-01564
1565,r1,579.05,row-01565
1566,r2,579.42,row-01566
1567,r3,579.79,row-01567
1568,r0,580.16,row-01568
1569,r1,580.53,row-01569
1570,r2,580.9,row-01570
1571,r3,581.27,row-01571
1572,r0,581.64,row-01572
1573,r1,582.01,row-01573
1574,r2,582.38,row-01574
1575,r3,582.75,row-01575
1576,r0,583.12,row-01576
1577,r1,583.49,row-01577
1578,r2,583.86,row-01578
1579,r3,584.23,row-01579
1580,r0,584.6,row-01580
1581,r1,584.97,row-01581
1582,r2,585.34,row-01582
1583,r3,585.71,row-01583
1584,r0,586.08,row-01584
1585,r1,586.45,row-01585
1586,r2,586.82,row-01586
1587,r3,587.19,row-01587
1588,r0,587.56,row-01588
1589,r1,587.93,row-01589
1590,r2,588.3,row-01590
1591,r3,588.67,row-01591
1592,r0,589.04,row-01592
1593,r1,589.41,row-01593
1594,r2,589.78,row-01594
1595,r3,590.15,row-01595
1596,r0,590.52,row-01596
1597,r1,590.89,row-01597
1598,r2,591.26,row-01598
1599,r3,591.63,row-01599
1600,r0,592.0,row-01600
1601,r1,592.37,row-01601
1602,r2,592.74,row-01602
1603,r3,593.11,row-01603
1604,r0,593.48,row-01604
1605,r1,593.85,row-01605
1606,r2,594.22,row-01606
1607,r3,594.59,row-01607
1608,r0,594.96,row-01608
1609,r1,595.33,row-01609
1610,r2,595.7,row-01610
1611,r3,596.07,row-01611
1612,r0,596.44,row-01612
1613,r1,596.81,row-01613
1614,r2,597.18,row-01614
1615,r3,597.55,row-01615
1616,r0,597.92,row-01616
1617,r1,598.29,row-01617
1618,r2,598.66,row-01618
1619,r3,599.03,row-01619
1620,r0,599.4,row-01620
1621,r1,599.77,row-01621
1622,r2,600.14,row-01622
1623,r3,600.51,row-01623
1624,r0,600.88,row-01624
1625,r1,601.25,row-01625
1626,r2,601.62,row-01626
1627,r3,601.99,row-01627
1628,r0,602.36,row-01628
1629,r1,602.73,row-01629
1630,r2,603.1,row-01630
1631,r3,603.47,row-01631
1632,r0,603.84,row-01632
1633,r1,604.21,row-01633
1634,r2,604.58,row-01634
1635,r3,604.95,row-01635
1636,r0,605.32,row-01636
1637,r1,605.69,row-01637
1638,r2,606.06,row-01638
1639,r3,606.43,row-01639
1640,r0,606.8,row-01640
1641,r1,607.17,row-01641
1642,r2,607.54,row-01642
1643,r3,607.91,row-01643
1644,r0,608.28,row-01644
1645,r1,608.65,row-01645
1646,r2,609.02,row-01646
1647,r3,609.39,row-01647
1648,r0,609.76,row-01648
1649,r1,610.13,row-01649
1650,r2,610.5,row-01650
1651,r3,610.87,row-01651
1652,r0,611.24,row-01652
1653,r1,611.61,row-01653
1654,r2,611.98,row-01654
1655,r3,612.35,row-01655
1656,r0,612.72,row-01656
1657,r1,613.09,row-01657
1658,r2,613.46,row-01658
1659,r3,613.83,row-01659
1660,r0,614.2,row-01660
1661,r1,614.57,row-01661
1662,r2,614.94,row-01662
1663,r3,615.31,row-01663
1664,r0,615.68,row-01664
1665,r1,616.05,row-01665
1666,r2,616.42,row-01666
1667,r3,616.79,row-01667
1668,r0,617.16,row-01668
1669,r1,617.53,row-01669
1670,r2,617.9,row-01670
1671,r3,618.27,row-01671
1672,r0,618.64,row-01672
1673,r1,619.01,row-01673
1674,r2,619.38,row-01674
1675,r3,619.75,row-01675
1676,r0,620.12,row-01676
1677,r1,620.49,row-01677
1678,r2,620.86,row-01678
1679,r3,621.23,row-01679
1680,r0,621.6,row-01680
1681,r1,621.97,row-01681
1682,r2,622.34,row-01682
1683,r3,622.71,row-01683
1684,r0,623.08,row-01684
1685,r1,623.45,row-01685
1686,r2,623.82,row-01686
1687,r3,624.19,row-01687
1688,r0,624.56,row-01688
1689,r1,624.93,row-01689
1690,r2,625.3,row-01690
1691,r3,625.67,row-01691
1692,r0,626.04,row-01692
1693,r1,626.41,row-01693
1694,r2,626.78,row-01694
1695,r3,627.15,row-01695
1696,r0,627.52,row-01696
1697,r1,627.89,row-01697
1698,r2,628.26,row-01698
1699,r3,628.63,row-01699
1700,r0,629.0,row-01700
1701,r1,629.37,row-01701
1702,r2,629.74,row-01702
1703,r3,630.11,row-01703
1704,r0,630.48,row-01704
1705,r1,630.85,row-01705
1706,r2,631.22,row-01706
1707,r3,631.59,row-01707
1708,r0,631.96,row-01708
1709,r1,632.33,row-01709
1710,r2,632.7,row-01710
1711,r3,633.07,row-01711
1712,r0,633.44,row-01712
1713,r1,633.81,row-01713
1714,r2,634.18,row-01714
1715,r3,634.55,row-01715
1716,r0,634.92,row-01716
1717,r1,635.29,row-01717
1718,r2,635.66,row-01718
1719,r3,636.03,row-01719
1720,r0,636.4,row-01720
1721,r1,636.77,row-01721
1722,r2,637.14,row-01722
1723,r3,637.51,row-01723
1724,r0,637.88,row-01724
1725,r1,638.25,row-01725
1726,r2,638.62,row-01726
1727,r3,638.99,row-01727
1728,r0,639.36,row-01728
1729,r1,639.73,row-01729
1730,r2,640.1,row-01730
1731,r3,640.47,row-01731
1732,r0,640.84,row-01732
1733,r1,641.21,row-01733
1734,r2,641.58,row-01734
1735,r3,641.95,row-01735
1736,r0,642.32,row-01736
1737,r1,642.69,row-01737
1738,r2,643.06,row-01738
1739,r3,643.43,row-01739
1740,r0,643.8,row-01740
1741,r1,644.17,row-01741
1742,r2,644.54,row-01742
1743,r3,644.91,row-01743
1744,r0,645.28,row-01744
1745,r1,645.65,row-01745
1746,r2,646.02,row-01746
1747,r3,646.39,row-01747
1748,r0,646.76,row-01748
1749,r1,647.13,row-01749
1750,r2,647.5,row-01750
1751,r3,647.87,row-01751
1752,r0,648.24,row-01752
1753,r1,648.61,row-01753
1754,r2,648.98,row-01754
1755,r3,649.35,row-01755
1756,r0,649.72,row-01756
1757,r1,650.09,row-01757
1758,r2,650.46,row-01758
1759,r3,650.83,row-01759
1760,r0,651.2,row-01760
1761,r1,651.57,row-01761
1762,r2,651.94,row-01762
1763,r3,652.31,row-01763
1764,r0,652.68,row-01764
1765,r1,653.05,row-01765
1766,r2,653.42,row-01766
1767,r3,653.79,row-01767
1768,r0,654.16,row-01768
1769,r1,654.53,row-01769
1770,r2,654.9,row-01770
1771,r3,655.27,row-01771
1772,r0,655.64,row-01772
1773,r1,656.01,row-01773
1774,r2,656.38,row-01774
1775,r3,656.75,row-01775
1776,r0,657.12,row-01776
1777,r1,657.49,row-01777
1778,r2,657.86,row-01778
1779,r3,658.23,row-01779
1780,r0,658.6,row-01780
1781,r1,658.97,row-01781
1782,r2,659.34,row-01782
1783,r3,659.71,row-01783
1784,r0,660.08,row-01784
1785,r1,660.45,row-01785
1786,r2,660.82,row-01786
1787,r3,661.19,row-01787
1788,r0,661.56,row-01788
1789,r1,661.93,row-01789
1790,r2,662.3,row-01790
1791,r3,662.67,row-01791
1792,r0,663.04,row-01792
1793,r1,663.41,row-01793
1794,r2,663.78,row-01794
1795,r3,664.15,row-01795
1796,r0,664.52,row-01796
1797,r1,664.89,row-01797
1798,r2,665.26,row-01798
1799,r3,665.63,row-01799
1800,r0,666.0,row-01800
1801,r1,666.37,row-01801
1802,r2,666.74,row-01802
1803,r3,667.11,row-01803
1804,r0,667.48,row-01804
1805,r1,667.85,row-01805
1806,r2,668.22,row-01806
1807,r3,668.59,row-01807
1808,r0,668.96,row-01808
1809,r1,669.33,row-01809
1810,r2,669.7,row-01810
1811,r3,670.07,row-01811
1812,r0,670.44,row-01812
1813,r1,670.81,row-01813
1814,r2,671.18,row-01814
1815,r3,671.55,row-01815
1816,r0,671.92,row-01816
1817,r1,672.29,row-01817
1818,r2,672.66,row-01818
1819,r3,673.03,row-01819
1820,r0,673.4,row-01820
1821,r1,673.77,row-01821
1822,r2,674.14,row-01822
1823,r3,674.51,row-01823
1824,r0,674.88,row-01824
1825,r1,675.25,row-01825
1826,r2,675.62,row-01826
1827,r3,675.99,row-01827
1828,r0,676.36,row-01828
1829,r1,676.73,row-01829
1830,r2,677.1,row-01830
1831,r3,677.47,row-01831
1832,r0,677.84,row-01832
1833,r1,678.21,row-01833
1834,r2,678.58,row-01834
1835,r3,678.95,row-01835
1836,r0,679.32,row-01836
1837,r1,679.69,row-01837
1838,r2,680.06,row-01838
1839,r3,680.43,row-01839
1840,r0,680.8,row-01840
1841,r1,681.17,row-01841
1842,r2,681.54,row-01842
1843,r3,681.91,row-01843
1844,r0,682.28,row-01844
1845,r1,682.65,row-01845
1846,r2,683.02,row-01846
1847,r3,683.39,row-01847
1848,r0,683.76,row-01848
1849,r1,684.13,row-01849
1850,r2,684.5,row-01850
1851,r3,684.87,row-01851
1852,r0,685.24,row-01852
1853,r1,685.61,row-01853
1854,r2,685.98,row-01854
1855,r3,686.35,row-01855
1856,r0,686.72,row-01856
1857,r1,687.09,row-01857
1858,r2,687.46,row-01858
1859,r3,687.83,row-01859
1860,r0,688.2,row-01860
1861,r1,688.57,row-01861
1862,r2,688.94,row-01862
1863,r3,689.31,row-01863
1864,r0,689.68,row-01864
1865,r1,690.05,row-01865
1866,r2,690.42,row-01866
1867,r3,690.79,row-01867
1868,r0,691.16,row-01868
1869,r1,691.53,row-01869
1870,r2,691.9,row-01870
1871,r3,692.27,row-01871
1872,r0,692.64,row-01872
1873,r1,693.01,row-01873
1874,r2,693.38,row-01874
1875,r3,693.75,row-01875
1876,r0,694.12,row-01876
1877,r1,694.49,row-01877
1878,r2,694.86,row-01878
1879,r3,695.23,row-01879
1880,r0,695.6,row-01880
1881,r1,695.97,row-01881
1882,r2,696.34,row-01882
1883,r3,696.71,row-01883
1884,r0,697.08,row-01884
1885,r1,697.45,row-01885
1886,r2,697.82,row-01886
1887,r3,698.19,row-01887
1888,r0,698.56,row-01888
1889,r1,698.93,row-01889
1890,r2,699.3,row-01890
1891,r3,699.67,row-01891
1892,r0,700.04,row-01892
1893,r1,700.41,row-01893
1894,r2,700.78,row-01894
1895,r3,701.15,row-01895
1896,r0,701.52,row-01896
1897,r1,701.89,row-01897
1898,r2,702.26,row-01898
1899,r3,702.63,row-01899
1900,r0,703.0,row-01900
1901,r1,703.37,row-01901
1902,r2,703.74,row-01902
1903,r3,704.11,row-01903
1904,r0,704.48,row-01904
1905,r1,704.85,row-01905
1906,r2,705.22,row-01906
1907,r3,705.59,row-01907
1908,r0,705.96,row-01908
1909,r1,706.33,row-01909
1910,r2,706.7,row-01910
1911,r3,707.07,row-01911
1912,r0,707.44,row-01912
1913,r1,707.81,row-01913
1914,r2,708.18,row-01914
1915,r3,708.55,row-01915
1916,r0,708.92,row-01916
1917,r1,709.29,row-01917
1918,r2,709.66,row-01918
1919,r3,710.03,row-01919
1920,r0,710.4,row-01920
1921,r1,710.77,row-01921
1922,r2,711.14,row-01922
1923,r3,711.51,row-01923
1924,r0,711.88,row-01924
1925,r1,712.25,row-01925
1926,r2,712.62,row-01926
1927,r3,712.99,row-01927
1928,r0,713.36,row-01928
1929,r1,713.73,row-01929
